Julien Nioche     ,Julien Nioche,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Julien Nioche     ,Julien Nioche,import org.apache.hadoop.util.Tool,
Julien Nioche     ,Julien Nioche,import org.apache.hadoop.util.ToolRunner,
,,,333
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configured,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileStatus,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.fs.FileSystem,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.fs.Path,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.MapFile,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.SequenceFile,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.Text,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.Writable,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.WritableComparable,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.FileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileOutputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.JobClient,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.JobConf,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.MapFileOutputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.MapReduceBase,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Mapper,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.OutputCollector,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.RecordWriter,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Reducer,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Reporter,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileOutputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.util.Progressable,
,,,719
Chris Mattmann        ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
Tejas Patil           ,Tejas Patil,import org.apache.hadoop.io.Text,
,,,84
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileSplit,
,,,113
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.conf.Configuration,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.Text,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.FileSplit,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.InputSplit,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.JobConf,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.RecordReader,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Reporter,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileRecordReader,
,,,104
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.conf.Configuration,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.conf.Configured,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileStatus,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.Path,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.MapFile,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.SequenceFile,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.Text,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.io.Writable,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.MapFile.Writer.Option,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.SequenceFile.CompressionType,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.SequenceFile.Metadata,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.compress.DefaultCodec,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileOutputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.FileSplit,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.InputSplit,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.JobClient,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.JobConf,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Mapper,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.OutputCollector,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.RecordReader,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.RecordWriter,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Reducer,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.Reporter,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.SequenceFileOutputFormat,
Dennis Kubes          ,Dennis Kubes,import org.apache.hadoop.mapred.SequenceFileRecordReader,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.util.Progressable,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.util.Tool,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.util.ToolRunner,
,,,793
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.fs.FileStatus,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.fs.FileSystem,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.fs.Path,
,,,135
Tejas Patil     ,Tejas Patil,import org.apache.hadoop.io.Text,
,,,47
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,95
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,363
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,523
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,194
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,303
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
,,,39
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.conf.Configuration,
,,,37
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.fs.Path,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.Writable,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile.Reader,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.ReflectionUtils,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.StringUtils,
,,,175
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.fs.Path,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.Writable,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.ReflectionUtils,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.StringUtils,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile.Reader,
,,,184
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
,,,132
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.util.ReflectionUtils,
,,,74
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.fs.Path,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.SequenceFile.Reader,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.io.Writable,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.ReflectionUtils,
Sujen Shah  ,Sujen Shah,import org.apache.hadoop.util.StringUtils,
,,,171
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
,,,95
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
,,,114
Chris Mattmann  ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
,,,143
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.util.StringUtils,
,,,104
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
,,,117
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
,,,325
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,134
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,37
Thamme Gowda  ,Thamme Gowda,import org.apache.hadoop.conf.Configuration,
,,,63
Thamme Gowda  ,Thamme Gowda,import org.apache.hadoop.conf.Configurable,
,,,43
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,40
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.conf.Configuration,
,,,44
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.VersionMismatchException,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.Writable,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.WritableUtils,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,311
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
,,,87
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,145
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,45
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.util.StringUtils,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.Tool,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.ToolRunner,
,,,270
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.GenericOptionsParser,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.*,
,,,119
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,278
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.GenericOptionsParser,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.fs.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
,,,255
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,58
Jerome Charron        ,Jerome Charron,import org.apache.hadoop.conf.Configuration,
,,,428
Chris Mattmann        ,Chris Mattmann,import org.apache.hadoop.fs.FileSystem,
Ferdy Galema          ,Ferdy Galema,import org.apache.hadoop.io.*,
Ferdy Galema          ,Ferdy Galema,import org.apache.hadoop.mapred.*,
Ferdy Galema          ,Ferdy Galema,import org.apache.hadoop.util.*,
Ferdy Galema          ,Ferdy Galema,import org.apache.hadoop.conf.*,
Ferdy Galema          ,Ferdy Galema,import org.apache.hadoop.fs.Path,
,,,312
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
,,,178
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.MapWritable,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.Text,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.Writable,
,,,135
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.MapFile.Writer.Option,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.SequenceFile.CompressionType,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.SequenceFile.Metadata,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.compress.DefaultCodec,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.util.Progressable,
,,,398
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,62
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,181
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
,,,53
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.conf.Configuration,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.fs.FileSystem,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.fs.Path,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.io.FloatWritable,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.io.Text,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.io.Writable,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.Job,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.Mapper,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.Reducer,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.lib.input.KeyValueTextInputFormat,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.lib.input.MultipleInputs,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.lib.output.MapFileOutputFormat,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.util.StringUtils,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.util.Tool,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.util.ToolRunner,
,,,519
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.*,
,,,427
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.PriorityQueue,
,,,339
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configured,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
,,,227
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
,,,49
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.Text,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.JobConf,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.Mapper,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.OutputCollector,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.Reporter,
,,,128
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.Writable,
,,,66
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configured,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.Path,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.Text,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileOutputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.JobClient,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.JobConf,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.mapred.MapFileOutputFormat,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.mapred.OutputCollector,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.mapred.Reducer,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.mapred.Reporter,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.StringUtils,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.Tool,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.ToolRunner,
,,,204
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.mapreduce.Job,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.*,
,,,349
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
,,,110
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.JobConf,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.Mapper,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.OutputCollector,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.Reporter,
,,,111
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configured,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.lib.HashPartitioner,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,203
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
,,,83
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.lib.MultipleSequenceFileOutputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.*,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.fs.FileStatus,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.Path,
,,,859
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
,,,571
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.conf.Configured,
Chris Mattmann        ,Chris Mattmann,import org.apache.hadoop.conf.Configuration,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.FileSystem,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.fs.Path,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.FloatWritable,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.LongWritable,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.MapFile,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.SequenceFile,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.io.Writable,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileInputFormat,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.FileOutputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.JobClient,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.JobConf,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.MapFileOutputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.Mapper,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.OutputCollector,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.RecordWriter,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.Reducer,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.Reporter,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.SequenceFileOutputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.TextOutputFormat,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.lib.HashPartitioner,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.lib.IdentityMapper,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.lib.IdentityReducer,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.Progressable,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.util.Tool,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.util.ToolRunner,
,,,886
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,62
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configurable,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
,,,208
Sebastian Nagel       ,Sebastian Nagel,import org.apache.hadoop.io.MD5Hash,
,,,42
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.io.FloatWritable,
,,,204
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.MD5Hash,
,,,199
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configurable,
,,,37
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.*,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.mapred.*,
,,,96
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.io.MD5Hash,
,,,39
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.fs.FileSystem,
Sami Siren            ,Sami Siren,import org.apache.hadoop.fs.Path,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Tacettin Guney        ,Tacettin Guney,import org.apache.hadoop.io.Writable,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.mapred.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.util.*,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.*,
,,,216
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.conf.Configuration,
Markus Jelsma         ,Markus Jelsma,import org.apache.hadoop.io.Text,
,,,235
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.fs.FileSystem,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.fs.Path,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.BytesWritable,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.io.Text,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.Counters.Group,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.FileInputFormat,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.FileOutputFormat,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.JobClient,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.JobConf,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.Mapper,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.OutputCollector,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.Reducer,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.Reporter,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.RunningJob,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.SequenceFileInputFormat,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.mapred.SequenceFileOutputFormat,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.StringUtils,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.Tool,
Julien Nioche         ,Julien Nioche,import org.apache.hadoop.util.ToolRunner,
,,,389
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.conf.Configuration,
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.fs.FileSystem,
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.fs.Path,
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.io.IOUtils,
,,,236
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
,,,186
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configuration,
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.conf.Configured,
,,,324
Markus Jelsma  ,Markus Jelsma,import org.apache.hadoop.conf.Configuration,
,,,66
Markus Jelsma  ,Markus Jelsma,import org.apache.hadoop.conf.Configuration,
,,,235
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,73
Andrzej Bialecki      ,Andrzej Bialecki,import org.apache.hadoop.io.Text,
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,124
Douglass Cutting      ,Douglass Cutting,import org.apache.hadoop.conf.Configuration,
,,,300
Lewis John McGibbney  ,Lewis John McGibbney,import org.apache.hadoop.conf.Configuration,
