,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.FileSplit,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.mapred.JobConf,774,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.metastore.TableType,,,,,,,,,,,,,,,,,,
Dain Sundstrom  ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.Warehouse,,,,,,,,,,,,,,,,,,
Eric Hwang      ,Eric Hwang,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Dain Sundstrom  ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.FieldSchema,,,,,,,,,,,,,,,,,,
Marc Beitchman  ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.HiveObjectRef,,,,,,,,,,,,,,,,,,
Eric Hwang      ,Eric Hwang,import org.apache.hadoop.hive.metastore.api.MetaException,,,,,,,,,,,,,,,,,,
Eric Hwang      ,Eric Hwang,import org.apache.hadoop.hive.metastore.api.NoSuchObjectException,,,,,,,,,,,,,,,,,,
Eric Hwang      ,Eric Hwang,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Marc Beitchman  ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Marc Beitchman  ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Amruta Gokhale  ,Amruta Gokhale,import org.apache.hadoop.hive.metastore.api.PrivilegeBag,,,,,,,,,,,,,,,,,,
Marc Beitchman  ,Marc Beitchman,import org.apache.hadoop.hive.metastore.api.Role,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.SerDeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin     ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.StorageDescriptor,,,,,,,,,,,,,,,,,,
Eric Hwang      ,Eric Hwang,import org.apache.hadoop.hive.metastore.api.Table,267,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.MetaStoreUtils,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.FieldSchema,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.Order,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.SerDeInfo,,,,,,,,,,,,,,,,,,
Haozhun Jin ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.StorageDescriptor,154,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.common.FileUtils,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.TableType,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.FieldSchema,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Partition,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.StorageDescriptor,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Table,562,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Database,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.PrincipalType,221,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin       ,Haozhun Jin,import org.apache.hadoop.hive.metastore.Warehouse,,,,,,,,,,,,,,,,,,
Haozhun Jin       ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.MetaException,,,,,,,,,,,,,,,,,,
Rebecca Schlussel ,Rebecca Schlussel,import org.apache.hadoop.hive.serde2.thrift.ThriftDeserializer,,,,,,,,,,,,,,,,,,
Rebecca Schlussel ,Rebecca Schlussel,import org.apache.hadoop.hive.serde2.thrift.test.IntString,112,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Nezih Yigitbasi ,Nezih Yigitbasi,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Nezih Yigitbasi ,Nezih Yigitbasi,import org.apache.hadoop.fs.FSDataInputStream,,,,,,,,,,,,,,,,,,
Jonathan Kelly  ,Jonathan Kelly,import org.apache.hadoop.fs.FSDataOutputStream,,,,,,,,,,,,,,,,,,
Nezih Yigitbasi ,Nezih Yigitbasi,import org.apache.hadoop.fs.Path,412,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.metastore.api.Database,97,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dain Sundstrom         ,Dain Sundstrom,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,,
Dain Sundstrom         ,Dain Sundstrom,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Dain Sundstrom         ,Dain Sundstrom,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Haozhun Jin            ,Haozhun Jin,import org.apache.hadoop.hive.metastore.TableType,,,,,,,,,,,,,,,,,,
Haozhun Jin            ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalPrivilegeSet,,,,,,,,,,,,,,,,,,
Haozhun Jin            ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrincipalType,,,,,,,,,,,,,,,,,,
Haozhun Jin            ,Haozhun Jin,import org.apache.hadoop.hive.metastore.api.PrivilegeGrantInfo,2662,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Christopher Berner ,Christopher Berner,import org.apache.hadoop.fs.Path,261,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.exec.FileSinkOperator.RecordWriter,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.HiveOutputFormat,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.NullMemoryManager,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.OrcFile.WriterOptions,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.OrcInputFormat,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.OrcOutputFormat,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.OrcSerde,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.OrcWriterOptions,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.Writer,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.ql.io.orc.WriterImpl,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.ReaderWriterProfiler,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.SerDe,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.objectinspector.SettableStructObjectInspector,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.hive.serde2.objectinspector.StructField,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.io.compress.CompressionCodec,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.io.compress.CompressionCodecFactory,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.mapred.FileSplit,,,,,,,,,,,,,,,,,,
Haozhun Jin        ,Haozhun Jin,import org.apache.hadoop.mapred.JobConf,605,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Yang Yang          ,Yang Yang,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.columnar.BytesRefArrayWritable,,,,,,,,,,,,,,,,,,
Dain Sundstrom     ,Dain Sundstrom,import org.apache.hadoop.hive.serde2.columnar.BytesRefWritable,,,,,,,,,,,,,,,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.hive.serde2.lazy.ByteArrayRef,,,,,,,,,,,,,,,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.hive.serde2.lazy.LazyFactory,,,,,,,,,,,,,,,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.hive.serde2.lazy.LazyObject,,,,,,,,,,,,,,,,,,
Eric Hwang         ,Eric Hwang,import org.apache.hadoop.hive.serde2.objectinspector.ObjectInspector,,,,,,,,,,,,,,,,,,
