,Name,Imports,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
,,,,,,,,,,,,,,,,,
Artem Tsikiridis   ,Artem Tsikiridis,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Fabian Hueske      ,Fabian Hueske,import org.apache.hadoop.mapred.JobConfigurable,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.mapred.RecordReader,,,,,,,,,,,,,,,
Robert Metzger     ,Robert Metzger,import org.apache.hadoop.security.Credentials,,,,,,,,,,,,,,,
Robert Metzger     ,Robert Metzger,import org.apache.hadoop.security.UserGroupInformation,,,,,,,,,,,,,,,
twalthr            ,twalthr,import org.apache.hadoop.util.ReflectionUtils,300,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fpompermaier      ,fpompermaier,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,
Fabian Hueske     ,Fabian Hueske,import org.apache.hadoop.mapred.JobConfigurable,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapred.JobContext,,,,,,,,,,,,,,,
twalthr           ,twalthr,import org.apache.hadoop.mapred.JobID,,,,,,,,,,,,,,,
