,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.SequenceFileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.lib.NullOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Tool,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.ToolRunner,,,,,,,,,,,,,,,,,
,,,198,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Mapper,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.SequenceFileInputFormat,,,,,,,,,,,,,,,,,
,,,341,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Tool,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.ToolRunner,,,,,,,,,,,,,,,,,
,,,153,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
,,,32,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.VersionMismatchException,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.WritableUtils,,,,,,,,,,,,,,,,,
,,,130,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,117,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.RecordWriter,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.Reporter,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Progressable,,,,,,,,,,,,,,,,,
,,,64,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
,,,81,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
,,,53,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,55,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.VersionMismatchException,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.WritableUtils,,,,,,,,,,,,,,,,,
,,,278,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.ArrayFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.VersionMismatchException,,,,,,,,,,,,,,,,,
